URN,label,PlateID,lat,long,symbol,size,azimuth,start,end,line_color,fill
1,Chicago,101,44.00012,-87.99988,Chicago,1.5,0,999,-999,black,black
2,Boston,108,44.00012,-70.9999,Boston,1.5,0,600,-999,black,black
3,Anchorage,126,63.00011,-149.9998,Anchorage,1.5,0,145,-999,black,black
4,NE Siberia,405,72.0001,155.9999,NE Siberia,1.5,0,999,-999,black,black
5,Mexico City,104,21.00014,-98.99989,Mexico City,1.5,0,999,-999,black,black
6,Amazonia,201,-0.99984,-59.99995,Amazonia,1.5,0,600,-999,black,black
7,Rio de Janerio,201,-20.99982,-43,Rio de Janerio,1.5,0,600,-999,black,black
8,Terra del Fuego,291,-50.9998,-71.00009,Terra del Fuego,1.5,0,600,-999,black,black
9,London,315,54.00011,0.000049,London,1.5,0,600,-999,black,black
10,Paris,305,51.00012,2.000045,Paris,1.5,0,600,-999,black,black
11,Rome,307,44.00012,13.00003,Rome,1.5,0,600,-999,black,black
12,Turkey,504,40.00013,33.00001,Turkey,1.5,0,600,-999,black,black
13,Madrid,304,42.00012,-3.999955,Madrid,1.5,0,600,-999,black,black
14,Oslo,301,62.00011,11.00005,Oslo,1.5,0,999,-999,black,black
15,Moscow,301,58.00011,38.00002,Moscow,1.5,0,999,-999,black,black
16,West Siberian Lowlands,401,71.0001,87.99999,West Siberian Lowlands,1.5,0,999,-999,black,black
17,Siberia,401,64.00011,128.9999,Siberia,1.5,0,999,-999,black,black
18,New Delhi,501,30.00013,76.99997,New Delhi,1.5,0,999,-999,black,black
19,Sri Lanka,502,9.000151,79.99994,Sri Lanka,1.5,0,999,-999,black,black
20,Beijing,604,42.00012,115.9999,Beijing,1.5,0,999,-999,black,black
21,Ordos Basin,604,40.00013,105.9999,Ordos Basin,1.5,0,999,-999,black,black
22,Central China,611,32.00013,103.9999,Central China,1.5,0,999,-999,black,black
23,Shanghai,611,25.00014,112.9999,Shanghai,1.5,0,999,-999,black,black
24,Tibet,613,33.00013,86.99996,Tibet,1.5,0,999,-999,black,black
25,Tarim Basin,601,41.00012,82.99997,Tarim Basin,1.5,0,999,-999,black,black
26,Indochina,615,14.00015,104.9999,Indochina,1.5,0,999,-999,black,black
27,Malaysia,616,5.000154,101.9999,Malaysia,1.5,0,999,-999,black,black
28,Cairo,715,32.00013,31.00001,Cairo,1.5,0,600,-999,black,black
29,East Africa,712,2.000157,32.99997,East Africa,1.5,0,600,-999,black,black
30,Madagascar,702,-16.99983,46.99993,Madagascar,1.5,0,999,-999,black,black
31,Capetown,701,-31.99981,18.99992,Capetown,1.5,0,600,-999,black,black
32,Australia,801,-21.99982,133.9998,Australia,1.5,0,999,-999,black,black
33,Sydney,801,-31.99981,150.9998,Sydney,1.5,0,999,-999,black,black
34,Perth,801,-29.99982,115.9998,Perth,1.5,0,999,-999,black,black
35,Zealandia,807,-40.99981,171.9998,Zealandia,1.5,0,270,-999,black,black
36,East Antarctica,802,-75.99978,50.99931,East Antarctica,1.5,0,999,-999,black,black
37,Dry Valley,802,-75.99978,158.9992,Dry Valley,1.5,0,999,-999,black,black
38,West Antarctic Pennisula,803,-69.99978,-64.00035,West Antarctic Pennisula,1.5,0,245,-999,black,black
39,Marie Brydland,804,-73.99978,-122.0004,Marie Brydland,1.5,0,270,-999,black,black
40,Hawaii,901,21.50014,-155.4998,Hawaii,1.5,0,0,-999,black,black
41,Chicago,101,42.00012,-87.99988,circle,2,0,999,-999,byPlateId,byPlateId
42,Boston,108,42.00012,-70.9999,circle,2,0,600,-999,byPlateId,byPlateId
43,Anchorage,126,61.00011,-149.9998,circle,2,0,145,-999,byPlateId,byPlateId
44,NE Siberia,405,70.0001,155.9999,circle,2,0,999,-999,byPlateId,byPlateId
45,Mexico City,104,19.00014,-98.99989,circle,2,0,999,-999,byPlateId,byPlateId
46,Amazonia,201,-2.99984,-59.99995,circle,2,0,600,-999,byPlateId,byPlateId
47,Rio de Janerio,201,-22.99982,-43,circle,2,0,600,-999,byPlateId,byPlateId
48,Terra del Fuego,291,-52.9998,-71.00009,circle,2,0,600,-999,byPlateId,byPlateId
49,London,315,52.00011,0.000049,circle,2,0,600,-999,byPlateId,byPlateId
50,Paris,305,49.00012,2.000045,circle,2,0,600,-999,byPlateId,byPlateId
51,Rome,307,42.00012,13.00003,circle,2,0,600,-999,byPlateId,byPlateId
52,Turkey,504,38.00013,33.00001,circle,2,0,600,-999,byPlateId,byPlateId
53,Madrid,304,40.00012,-3.999955,circle,2,0,600,-999,byPlateId,byPlateId
