URN,label,PlateID,lat,long,symbol,size,azimuth,start,end,line_color,fill
1,Dalgaranga,NA,-27.716667,117.25,circle,2,0,0.027,-999,none,red
2,Havliland,NA,37.5833333,-99.166667,circle,2,0,0.001,-999,none,red
3,Sikhote Alin,NA,46.1166667,134.666667,circle,2,0,0,-999,none,red
4,Campo del Cielo,NA,-27.633333,-61.7,circle,2,0,0.004,-999,none,red
5,Sobolev,NA,46.3,138.866667,circle,2,0,0.001,-999,none,red
6,Ilumetsa,NA,57.9666667,25.4166667,circle,2,0,0.002,-999,none,red
7,Veevers,NA,-22.966667,125.366667,circle,2,0,1,-999,none,red
8,Morasko,NA,52.4833333,16.9,circle,2,0,0.01,-999,none,red
9,Wabar,NA,21.5,50.4666667,circle,2,0,0.006,-999,none,red
10,Kaalijarvi,NA,58.4,22.6666667,circle,2,0,0.004,-999,none,red
11,Henbury,NA,-24.583333,133.15,circle,2,0,0.005,-999,none,red
12,Boxhole,NA,-22.616667,135.2,circle,2,0,0.03,-999,none,red
13,Odessa,NA,31.75,-102.48333,circle,2,0,0.05,-999,none,red
14,Macha,NA,59.9833333,118,circle,2,0,0.007,-999,none,red
15,Aouelloul,NA,20.25,-12.683333,circle,2,0,3.1,-999,none,red
16,Amguid,NA,26.0833333,19.25,circle,2,0,0.1,-999,none,red
17,Monturaqui,NA,-23.933333,-68.283333,circle,2,0,1,-999,none,red
18,Kalkkop,NA,-32.716667,24.5666667,circle,2,0,1.8,-999,none,red
19,Wolfe Creek,NA,-19.3,127.766667,circle,2,0,0.3,-999,none,red
20,Pretoria Saltpan,NA,-25.4,28.0833333,circle,2,0,0.22,-999,none,red
21,Barringer,NA,35.0333333,-111.01667,circle,2,0,0.049,-999,none,red
22,Tabun-Khara-Obo,NA,44.1,109.6,circle,2,0,1.8,-999,none,red
23,Liverpool,NA,-12.4,134.05,circle,2,0,150,-999,none,red
24,Talemzane,NA,33.3166667,4.03333333,circle,2,0,3,-999,none,red
25,Lonar,NA,19.9666667,76.5166667,circle,2,0,0.052,-999,none,red
26,Tenouomer,NA,22.9166667,-10.4,circle,2,0,2.5,-999,none,red
27,Tvaren,NA,58.7666667,17.4166667,circle,2,0,455,-999,none,red
28,Holleford,NA,44.4666667,-76.633333,circle,2,0,550,-999,none,red
29,West Hawk,NA,49.7666667,-95.183333,circle,2,0,100,-999,none,red
30,Roter Kamm,NA,-27.766667,16.3,circle,2,0,3.7,-999,none,red
31,Zeleny Gai,NA,48.7,32.9,circle,2,0,120,-999,none,red
32,Rotmistrovka,NA,49,32,circle,2,0,140,-999,none,red
33,B.P. Structure,NA,25.3166667,24.3333333,circle,2,0,120,-999,none,red
34,Granby,NA,58.4166667,15.9333333,circle,2,0,470,-999,none,red
35,Iso-Naakkima,NA,62.1833333,27.15,circle,2,0,1000,-999,none,red
36,Newporte,NA,48.9666667,-101.96667,circle,2,0,500,-999,none,red
37,Shunak,NA,47.2,72.7,circle,2,0,12,-999,none,red
38,New Quebec,NA,61.2833333,-73.666667,circle,2,0,1.4,-999,none,red
39,Gusev,NA,48.35,40.2333333,circle,2,0,65,-999,none,red
40,Ouarkziz,NA,29,-7.55,circle,2,0,70,-999,none,red
41,Flynn Creek,NA,36.2833333,-85.666667,circle,2,0,360,-999,none,red
42,Brent,NA,46.0833333,-78.483333,circle,2,0,450,-999,none,red
43,Steinhiem,NA,48.0333333,10.0666667,circle,2,0,15,-999,none,red
44,Glasford,NA,40.6,-89.783333,circle,2,0,430,-999,none,red
45,Ille Roule,NA,50.6833333,-73.883333,circle,2,0,300,-999,none,red
46,Kardla,NA,58.9833333,22.6666667,circle,2,0,455,-999,none,red
47,Mishina Gora,NA,58.6666667,28,circle,2,0,360,-999,none,red
48,Suvasvesi N,NA,62.7,28,circle,2,0,1000,-999,none,red
49,Zapadnaya,NA,49.7333333,29,circle,2,0,115,-999,none,red
50,Dobele,NA,56.5833333,23.25,circle,2,0,300,-999,none,red
51,Ilyinets,NA,49.1,29.2,circle,2,0,395,-999,none,red
52,Riachao Ring,NA,-7.7166667,-46.65,circle,2,0,200,-999,none,red
53,Rio Cuarto,NA,-30.866667,-64.233333,circle,2,0,0.1,-999,none,red
54,Gardnos,NA,60.65,9,circle,2,0,500,-999,none,red
55,Gow,NA,56.45,-104.48333,circle,2,0,250,-999,none,red
56,Mizarai,NA,54.0166667,24.5666667,circle,2,0,570,-999,none,red
57,Goat Paddock,NA,-18.333333,126.666667,circle,2,0,50,-999,none,red
58,Chiyli,NA,49.1666667,57.85,circle,2,0,46,-999,none,red
59,Kursk,NA,51.6666667,36,circle,2,0,250,-999,none,red
60,Chukca,NA,75.7,97.8,circle,2,0,70,-999,none,red
61,Decaturville,NA,37.9,-92.716667,circle,2,0,300,-999,none,red
62,Middleboro,NA,36.6166667,-83.733333,circle,2,0,300,-999,none,red
63,Pilot,NA,60.2833333,-111.01667,circle,2,0,445,-999,none,red
